Descritpor,Yield Correlation
NumAliphaticHeterocycles_Lig,0.304607963
PEOE_VSA9_Sub,0.284133865
Catalyst_quant_mmol,0.265326807
NumAromaticHeterocycles_Lig,0.246803728
EState_VSA3_Sub,0.231914324
VSA_EState4_Sub,0.22748967
SlogP_VSA4_Sol,0.222048179
PEOE_VSA8_Sub,0.215575224
PEOE_VSA2_Lig,0.213662023
EState_VSA9_Sub,0.209135602
EState_VSA2_Lig,0.207872648
SMR_VSA10_Lig,0.205004536
VSA_EState1_Sub,0.199887267
NumValenceElectrons_Cat,0.196588358
Chi0_Cat,0.196519524
Chi2n_Cat,0.196427826
Chi0v_Cat,0.195948968
Chi1n_Cat,0.19587369
Kappa1_Sub,0.195599289
Chi0n_Cat,0.195532739
SMR_VSA6_Sol,0.195119711
PEOE_VSA14_Cat,0.193346653
MolMR_Cat,0.192863871
SMR_VSA10_Sol,0.192800713
VSA_EState10_Sol,0.192085049
SlogP_VSA12_Sol,0.192005377
EState_VSA1_Cat,0.191131367
VSA_EState9_Cat,0.19035365
Solv_elect_halo,0.189056504
MolLogP_Cat,0.188874479
Chi1v_Cat,0.188719993
EState_VSA10_Cat,0.188221071
NumSaturatedHeterocycles_Lig,0.188198875
SMR_VSA9_Sol,0.188184806
PEOE_VSA4_Sol,0.188184806
SMR_VSA2_Sol,0.188184806
MolWt_Cat,0.18817967
Ligand_quant_mmol,0.187978139
HeavyAtomCount_Cat,0.187158685
VSA_EState3_Sol,0.18387975
EState_VSA5_Lig,0.183770809
BalabanJ_Sub,0.183047095
SlogP_VSA2_Sol,0.182715294
VSA_EState2_Lig,0.182296275
Chi1_Cat,0.18149397
MinAbsEStateIndex_Cat,0.179276368
Kappa1_Cat,0.1780859
HeavyAtomMolWt_Cat,0.177037021
EState_VSA6_Lig,0.175877561
HallKierAlpha_Sol,0.174613187
SlogP_VSA2_Lig,0.173896823
EState_VSA6_Sol,0.173028254
EState_VSA9_Cat,0.172286901
VSA_EState8_Sub,0.172262829
PEOE_VSA5_Sol,0.172183591
PEOE_VSA13_Lig,0.169325444
EState_VSA9_Sol,0.169316501
MinEStateIndex_Sol,0.167989244
PEOE_VSA7_Sub,0.167273771
EState_VSA10_Lig,0.167014478
Chi2v_Cat,0.165118459
SlogP_VSA5_Cat,0.15795421
EState_VSA10_Sub,0.157303968
PEOE_VSA10_Lig,0.156659864
PEOE_VSA2_Sub,0.155682568
NOCount_Sub,0.154819746
NumHAcceptors_Sub,0.154579175
MaxAbsEStateIndex_Sub,0.154363685
MaxEStateIndex_Sub,0.154363685
Cat_Group,0.1543314
NumRotatableBonds_Sub,0.15414041
VSA_EState2_Sub,0.153254962
MinAbsEStateIndex_Sol,0.152458672
SlogP_VSA3_Sub,0.15136896
NumHeteroatoms_Sub,0.151337122
BalabanJ_Lig,0.150267693
SMR_VSA10_Cat,0.149996626
SMR_VSA1_Cat,0.148182672
NumAromaticHeterocycles_Sub,0.148157259
SMR_VSA3_Sub,0.147328372
SlogP_VSA1_Sub,0.147017197
SlogP_VSA11_Sub,0.147017197
VSA_EState3_Sub,0.146554946
SMR_VSA9_Sub,0.145694019
NHOHCount_Sub,0.144601953
NumHDonors_Sub,0.144601953
NHOHCount_Cat,0.14215206
NumHDonors_Cat,0.14215206
SMR_VSA1_Lig,0.141005507
Kappa2_Cat,0.139551733
VSA_EState10_Cat,0.139019872
NumAliphaticHeterocycles_Sub,0.137358868
PEOE_VSA11_Sub,0.137358868
PEOE_VSA12_Sub,0.137358868
HeavyAtomMolWt_Sol,0.135519746
NumHeteroatoms_Cat,0.134256346
Chi4n_Cat,0.133384491
NumHeteroatoms_Sol,0.132990374
TPSA_Cat,0.132169719
EState_VSA2_Sol,0.131923142
MinAbsPartialCharge_Sub,0.13165194
VSA_EState5_Sub,0.131316508
VSA_EState4_Lig,0.131262433
VSA_EState8_Cat,0.131047354
Chi4v_Cat,0.130272517
TPSA_Sol,0.130189364
Chi3n_Cat,0.128315287
VSA_EState5_Lig,0.126757054
SMR_VSA5_Cat,0.126312677
NumAliphaticRings_Sub,0.125558237
EState_VSA6_Cat,0.125399936
MolWt_Sol,0.123265132
Chi0v_Sub,0.12289148
SlogP_VSA5_Sub,0.122875293
Kappa3_Sub,0.122591803
EState_VSA4_Sub,0.121573074
EState_VSA8_Lig,0.119916117
PEOE_VSA14_Sub,0.119756672
MolLogP_Sub,0.119281214
PEOE_VSA3_Sub,0.118450276
VSA_EState7_Lig,0.117695578
Chi2n_Sub,0.117223615
Chi2v_Sub,0.115978468
NOCount_Lig,0.115600723
MaxAbsEStateIndex_Cat,0.115324394
MaxEStateIndex_Cat,0.115324394
MinEStateIndex_Sub,0.114326214
PEOE_VSA1_Sub,0.112533202
Kappa2_Sub,0.112073061
EState_VSA7_Lig,0.111805558
SMR_VSA1_Sub,0.110640315
Substrate_quant_mmol,0.109893855
Chi0n_Sub,0.109255839
EState_VSA1_Lig,0.107910726
EState_VSA5_Sol,0.105558949
Group,0.103621065
MolMR_Sub,0.103613408
MaxPartialCharge_Sub,0.103497331
VSA_EState8_Sol,0.103231516
PEOE_VSA6_Sub,0.103050598
TPSA_Lig,0.103010133
NOCount_Sol,0.102792996
NumHAcceptors_Sol,0.101818627
NumHeteroatoms_Lig,0.100548852
VSA_EState1_Sol,0.100453508
Temp_K,0.099365024
SlogP_VSA3_Lig,0.098105508
MinEStateIndex_Cat,0.097019422
Chi0_Sub,0.096983706
VSA_EState8_Lig,0.096862227
SlogP_VSA3_Sol,0.096527163
SlogP_VSA5_Sol,0.096307125
Solv_Hbond_bs,0.094320052
NumValenceElectrons_Sub,0.093428368
EState_VSA4_Sol,0.09324806
NumAliphaticHeterocycles_Sol,0.09324806
NumSaturatedHeterocycles_Sol,0.09324806
NumAliphaticRings_Sol,0.09324806
NumSaturatedRings_Sol,0.09324806
VSA_EState7_Sol,0.09324806
EState_VSA11_Lig,0.092437859
PEOE_VSA11_Lig,0.09227188
SMR_VSA5_Lig,0.092090308
Solv_diele_cst,0.090901878
SlogP_VSA6_Sub,0.089823063
EState_VSA4_Lig,0.089211805
SMR_VSA5_Sol,0.089006883
NumAliphaticCarbocycles_Lig,0.088768891
EState_VSA7_Sub,0.088102788
PEOE_VSA7_Lig,0.086727929
NumHAcceptors_Lig,0.086052125
SMR_VSA9_Lig,0.085628707
VSA_EState1_Cat,0.08514989
Chi3v_Cat,0.084525631
NumSaturatedCarbocycles_Lig,0.083487858
PEOE_VSA11_Sol,0.083119724
EState_VSA1_Sol,0.083119724
Kappa3_Cat,0.08261116
SMR_VSA7_Sub,0.081774031
SMR_VSA7_Cat,0.079909163
Chi2v_Sol,0.07877563
MaxAbsPartialCharge_Lig,0.078471682
Chi1v_Sub,0.077829812
Oxidant_Group,0.077099263
MinPartialCharge_Lig,0.077022631
SlogP_VSA5_Lig,0.075699895
Time_h,0.075533711
MolWt_Sub,0.075114201
Chi1v_Sol,0.075001195
